,Epochs,Lowest MAE,Lowest MSE,Smoothed Epochs,Lowest MAE Smoothed,Lowest MSE Smoothed,"R: 7, 7","R: 8, 7","R: 9, 7","R: 10, 7","R: 11, 7","R: 12, 7","R: 13, 7","R: 7, 8","R: 8, 8","R: 9, 8","R: 10, 8","R: 11, 8","R: 12, 8","R: 7, 9","R: 8, 9","R: 9, 9","R: 10, 9","R: 11, 9","R: 7, 10","R: 8, 10","R: 9, 10","R: 10, 10","R: 7, 11","R: 8, 11","R: 9, 11","R: 7, 12","R: 8, 12","R: 7, 13","MAE: 7, 7","MAE: 8, 7","MAE: 9, 7","MAE: 10, 7","MAE: 11, 7","MAE: 12, 7","MAE: 13, 7","MAE: 7, 8","MAE: 8, 8","MAE: 9, 8","MAE: 10, 8","MAE: 11, 8","MAE: 12, 8","MAE: 7, 9","MAE: 8, 9","MAE: 9, 9","MAE: 10, 9","MAE: 11, 9","MAE: 7, 10","MAE: 8, 10","MAE: 9, 10","MAE: 10, 10","MAE: 7, 11","MAE: 8, 11","MAE: 9, 11","MAE: 7, 12","MAE: 8, 12","MAE: 7, 13"
32,33,0.21316729113459587,0.0845005395822227,33,0.24883279093009328,0.12066301421184181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,0.20490418747067451,0.07791947852820158,34,0.23565420989226765,0.10783995350674974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,0.19548100605607033,0.07287270668894053,35,0.22360224874140844,0.09734977946140698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,0.18443601951003075,0.06517953472211957,36,0.21185237997199513,0.08769870603962075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,0.1808646358549595,0.061248830519616604,37,0.20255605673688445,0.07976374338361951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,0.16938120312988758,0.055129311978816986,38,0.19260360065478538,0.07237341396217875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,0.16386941261589527,0.0525070047006011,39,0.18398334424311835,0.06641349118370546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,0.15641323663294315,0.04792228201404214,40,0.17571231196006581,0.06086612843280646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,0.15414943173527718,0.04490703018382192,41,0.16924344789262924,0.0560783989581111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,0.1455422379076481,0.04130771663039923,42,0.1621330848971349,0.05164719425979754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43,0.14924622513353825,0.041152840945869684,43,0.15826702696805592,0.04849888826561918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,0.13795466907322407,0.036526925629004836,44,0.15217331959960637,0.04490729947463488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,0.13691939786076546,0.0352124348282814,45,0.14759714307795407,0.041998840080728836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,0.1283606979995966,0.0322337974794209,46,0.14182620955444683,0.03906932730033645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,0.1299204733222723,0.03197715571150184,47,0.13825448868479448,0.03694167582368607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,0.12509272433817387,0.029408736852928996,48,0.1343059593808083,0.03468179413245895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,0.12105877883732319,0.027644130866974592,49,0.13033180521776278,0.03257049515281364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,0.12266418524086475,0.02685453975573182,50,0.12803151922469336,0.030855708533689095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,0.11982410959899426,0.02564278687350452,51,0.12556929633698363,0.029291832035633722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,0.11701535619795322,0.024139601038768888,52,0.12300311429527451,0.02774616273657427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,53,0.11577353812754154,0.023198331706225872,53,0.12083424144495461,0.02638181342746975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54,0.1093414667993784,0.021377912955358624,54,0.11738640905128175,0.024880643285836414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55,0.11094275489449501,0.022097286535426974,55,0.11545331280424573,0.02404563626071358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56,0.1099948063492775,0.020785832777619362,56,0.11381576086775526,0.023067695215785316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,57,0.10713243298232555,0.019534719409421086,57,0.11181076250212635,0.02200780247387605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,58,0.10286957025527954,0.01816975953988731,58,0.1091284048280723,0.020856389593679428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,59,0.10345037281513214,0.01872347528114915,59,0.10742499522419026,0.020216515299920343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60,0.09899795986711979,0.017027496360242367,60,0.10489688461706911,0.01925980961801695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,61,0.10069214925169945,0.017438251990824938,61,0.10363546400745821,0.018713342329859346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,62,0.09847244620323181,0.01638694992288947,62,0.10208655866619029,0.018015424607768383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,63,0.09389766491949558,0.015624568331986666,63,0.09962989054218187,0.01729816772503387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64,0.09695406816899776,0.015419000061228871,64,0.09882714383022664,0.01673441742589237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,65,0.09464677982032299,0.015099738258868456,65,0.09757303462725556,0.016244013675785197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,66,0.09103723242878914,0.014096160419285297,66,0.09561229396771563,0.015599657698835225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,67,0.09511160105466843,0.015032350784167647,67,0.09546208609380147,0.015429465624434952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,68,0.09052597731351852,0.014045650721527636,68,0.09398125345971658,0.015014321153562757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,69,0.08850121684372425,0.01323102624155581,69,0.09233724247491888,0.014479332679960672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,70,0.08526615984737873,0.01284069789107889,70,0.09021591768665684,0.013987742243296136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,71,0.08627756498754025,0.012832999462261796,71,0.08903441187692185,0.013641319408985834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72,0.08887643367052078,0.01452572108246386,72,0.08898701841500153,0.013906639911029242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,73,0.08766194432973862,0.013128862250596285,73,0.08858949618942266,0.013673306612899354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,74,0.08292357251048088,0.012198058189824224,74,0.08688971908574013,0.013230732085976816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,75,0.08519310504198074,0.012453504372388124,75,0.08638073487261232,0.012997563771900209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,76,0.0861499086022377,0.012682354426942766,76,0.08631148699149993,0.012903000968412976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,77,0.08136802352964878,0.011701448238454759,77,0.08482844795294459,0.01254253514942551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,78,0.08244708366692066,0.011985287186689675,78,0.0841140386671374,0.01237536076060476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,79,0.08265171200037003,0.01186869852244854,79,0.08367534066710719,0.012223362089157894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,80,0.08274848945438862,0.011848303372971714,80,0.08339728530329162,0.012110844474302041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,81,0.08531655929982662,0.012377221486531198,81,0.08397306750225211,0.012190757577970788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,82,0.08143151551485062,0.012102209613658488,82,0.08321060190603166,0.012164193188677097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,83,0.08179092593491077,0.011525461100973189,83,0.0827846991146954,0.011972573562365925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,84,0.08057065308094025,0.011786663788370788,84,0.08212048530456885,0.011916800630167385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
