Ti-200-24hre-1 (1st measurement),,Ti-200-24hre-1 (2nd measurement),,Ti-200-24hre-2 (1st measurement),
s,V,s,V,s,V
189,0.165143251,189,0.155674338,189,0.145642877
190,0.165049195,190,0.15558064,190,0.145642877
191,0.165049195,191,0.155486584,191,0.145736575
192,0.165049195,192,0.155299187,192,0.145736575
193,0.164955497,193,0.15511179,193,0.145830274
194,0.164955497,194,0.154924393,194,0.145830274
195,0.164955497,195,0.15464294,195,0.145830274
196,0.164955497,196,0.154455543,196,0.145923972
197,0.164861798,197,0.154361844,197,0.145923972
198,0.164861798,198,0.154174089,198,0.145923972
199,0.164861798,199,0.153892994,199,0.146017671
200,0.164861798,200,0.153330445,200,0.146017671
201,-0.003046989,201,-0.038672447,201,-0.016547084
202,-0.003140688,202,-0.038766146,202,-0.016640782
203,-0.003140688,203,-0.038766146,203,-0.016734481
204,-0.003234386,204,-0.038766146,204,-0.016734481
205,-0.003234386,205,-0.038672447,205,-0.016828537
206,-0.003234386,206,-0.038578749,206,-0.016922235
207,-0.003328085,207,-0.03848505,207,-0.017015934
208,-0.003328085,208,-0.038297653,208,-0.017109632
209,-0.003328085,209,-0.038109899,209,-0.017203331
210,-0.003421783,210,-0.037922502,210,-0.017297029
211,-0.003421783,211,-0.037828803,211,-0.017391086
212,-0.003421783,212,-0.037735105,212,-0.017484784
213,-0.003421783,213,-0.037641406,213,-0.017484784
214,-0.00351584,214,-0.03754735,214,-0.017484784
215,-0.00351584,215,-0.037453651,215,-0.017578483
216,-0.003609538,216,-0.037266254,216,-0.017578483
217,-0.003609538,217,-0.037078857,217,-0.017672181
218,-0.003609538,218,-0.036797404,218,-0.017578483
219,-0.003609538,219,-0.036610007,219,-0.017578483
220,-0.003703237,220,-0.03642261,220,-0.017578483
221,-0.003703237,221,-0.036328554,221,-0.017578483
222,-0.003703237,222,-0.036234856,222,-0.017578483
223,-0.003703237,223,-0.036141157,223,-0.017578483
224,-0.003796935,224,-0.036047459,224,-0.017484784
225,-0.003796935,225,-0.035860062,225,-0.017484784
226,-0.003796935,226,-0.035672307,226,-0.017484784
227,-0.003796935,227,-0.03548491,227,-0.017391086
228,-0.003796935,228,-0.035203815,228,-0.017391086
229,-0.003796935,229,-0.03501606,229,-0.017391086
230,-0.003796935,230,-0.034922361,230,-0.017297029
231,-0.003796935,231,-0.034734964,231,-0.017297029
232,-0.003796935,232,-0.034641266,232,-0.017297029
233,-0.003796935,233,-0.034641266,233,-0.017203331
234,-0.003703237,234,-0.034547567,234,-0.017203331
235,-0.003703237,235,-0.034359813,235,-0.017203331
236,-0.003703237,236,-0.034172416,236,-0.017203331
237,-0.003703237,237,-0.033985019,237,-0.017109632
238,-0.003703237,238,-0.033797264,238,-0.017109632
239,-0.003703237,239,-0.033609867,239,-0.017015934
240,-0.003703237,240,-0.03342247,240,-0.017015934
241,-0.003703237,241,-0.033328772,241,-0.017015934
242,-0.003703237,242,-0.033235073,242,-0.016922235
243,-0.003609538,243,-0.033141017,243,-0.016922235
244,-0.003609538,244,-0.033047318,244,-0.016922235
245,-0.003609538,245,-0.033047318,245,-0.016828537
246,-0.003609538,246,-0.032859921,246,-0.016828537
247,-0.003609538,247,-0.032766223,247,-0.016828537
248,-0.003609538,248,-0.032578826,248,-0.016828537
