Ti-200-24hre-1,
s,V
237,-0.003703237
238,-0.003703237
239,-0.003703237
240,-0.003703237
241,-0.003703237
242,-0.003703237
243,-0.003609538
244,-0.003609538
245,-0.003609538
246,-0.003609538
247,-0.003609538
248,-0.003609538
249,-0.00351584
250,-0.00351584
251,-0.129517615
252,-0.129517615
253,-0.129423916
254,-0.129423916
255,-0.129423916
256,-0.129423916
257,-0.129330218
258,-0.129423916
259,-0.129423916
260,-0.129423916
261,-0.129423916
262,-0.129423916
263,-0.129423916
264,-0.129423916
265,-0.129423916
266,-0.129423916
267,-0.129330218
268,-0.129423916
269,-0.129423916
270,-0.129423916
271,-0.129423916
272,-0.129423916
273,-0.129423916
274,-0.129423916
275,-0.129517615
276,-0.129517615
277,-0.129517615
278,-0.129517615
279,-0.129611313
280,-0.129611313
281,-0.129611313
282,-0.129705191
283,-0.129705191
284,-0.129798889
285,-0.129798889
286,-0.129892588
287,-0.129986465
288,-0.129986465
289,-0.130080163
290,-0.130080163
291,-0.130173862
292,-0.13026756
293,-0.13026756
294,-0.130361438
295,-0.130361438
296,-0.130455136
297,-0.130455136
298,-0.130455136
299,-0.130548835
300,-0.130548835
301,-0.00351584
302,-0.003328085
303,-0.003234386
304,-0.003140688
305,-0.003046989
306,-0.002953291
307,-0.002859592
308,-0.002765536
309,-0.002671838
310,-0.002578139
311,-0.002484441
312,-0.002390742
313,-0.002390742
314,-0.002297044
315,-0.002297044
316,-0.002203345
317,-0.002203345
318,-0.002203345
319,-0.002109289
320,-0.002109289
321,-0.002109289
322,-0.002109289
323,-0.002109289
324,-0.002109289
325,-0.002109289
326,-0.002109289
327,-0.002109289
328,-0.002109289
329,-0.002109289
330,-0.002109289
331,-0.002109289
332,-0.002109289
333,-0.002109289
334,-0.002109289
335,-0.002109289
336,-0.002109289
337,-0.002109289
338,-0.002203345
339,-0.002203345
340,-0.002203345
341,-0.002203345
342,-0.002203345
343,-0.002203345
344,-0.002203345
345,-0.002203345
346,-0.002203345
347,-0.002203345
348,-0.002297044
349,-0.002297044
350,-0.002297044
351,0.155768037
352,0.155861735
353,0.156142831
354,0.156611681
355,0.156986833
356,0.15717423
357,0.157267928
358,0.157361627
359,0.157455683
360,0.157549381
361,0.15764308
362,0.157736778
363,0.157830477
364,0.157924175
365,0.157924175
366,0.158017874
367,0.158017874
368,0.158017874
369,0.157924175
370,0.157924175
371,0.157736778
372,0.157736778
373,0.15764308
374,0.157549381
375,0.157549381
376,0.157455683
377,0.157361627
378,0.157361627
379,0.157267928
380,0.157267928
381,0.157267928
382,0.15717423
383,0.15717423
